ID_Venda,Data,Produto,Quantidade,Preco,Regiao
221,2022-05-23,Produto D,9,220.7,Sudeste
222,2022-07-09,Produto D,18,248.66,Norte
223,2023-11-19,Produto C,9,393.29,Centro-Oeste
224,2023-03-24,Produto B,5,64.47,Centro-Oeste
225,2023-01-29,Produto E,5,11.52,Sudeste
226,2022-07-14,Produto A,6,472.56,Sudeste
227,2023-03-03,Produto B,15,477.76,Sul
228,2022-03-30,Produto A,15,31.95,Sudeste
229,2023-09-08,Produto E,3,216.72,Nordeste
230,2022-03-19,Produto B,8,195.5,Sul
231,2022-05-11,Produto C,13,351.99,Sudeste
232,2022-02-02,Produto E,17,411.83,Centro-Oeste
233,2022-12-14,Produto A,19,441.38,Norte
234,2023-05-26,Produto C,18,230.12,Sudeste
235,2022-06-21,Produto E,4,459.38,Centro-Oeste
236,2022-01-16,Produto E,5,399.88,Centro-Oeste
237,2022-12-28,Produto C,10,388.92,Norte
238,2023-01-23,Produto C,7,232.64,Sudeste
239,2022-04-05,Produto B,20,411.47,Norte
240,2022-03-09,Produto D,4,230.84,Norte
241,2022-05-21,Produto E,12,436.45,Sul
242,2022-01-30,Produto A,14,339.57,Sudeste
243,2023-09-12,Produto D,5,33.34,Sudeste
244,2023-06-10,Produto D,19,436.49,Sudeste
245,2022-07-30,Produto D,14,150.01,Sul
246,2022-09-16,Produto C,10,18.08,Nordeste
247,2022-02-25,Produto A,12,20.19,Sudeste
248,2022-12-12,Produto A,6,390.4,Sul
249,2023-05-19,Produto C,15,182.83,Sul
250,2022-01-30,Produto A,11,315.41,Norte
251,2022-03-11,Produto D,4,374.41,Sudeste
252,2023-12-11,Produto A,4,348.32,Sul
253,2023-08-16,Produto E,11,207.02,Sul
254,2023-08-08,Produto C,7,68.79,Sudeste
255,2022-11-06,Produto A,1,81.69,Sul
256,2022-12-31,Produto E,10,29.0,Norte
257,2023-12-24,Produto B,4,142.03,Centro-Oeste
258,2022-01-02,Produto B,16,124.03,Centro-Oeste
259,2022-09-03,Produto E,11,346.89,Centro-Oeste
260,2023-06-22,Produto A,9,37.0,Nordeste
261,2022-09-10,Produto C,18,222.84,Sul
262,2023-09-06,Produto E,10,101.97,Sul
263,2022-03-01,Produto A,5,54.95,Nordeste
264,2023-06-30,Produto B,13,473.26,Nordeste
265,2023-12-11,Produto E,4,194.17,Sudeste
266,2022-01-10,Produto C,9,213.12,Sul
267,2022-08-24,Produto A,16,333.01,Sudeste
268,2023-05-18,Produto C,3,225.1,Centro-Oeste
269,2022-12-06,Produto A,18,229.35,Nordeste
270,2023-09-12,Produto A,10,215.13,Nordeste
271,2023-11-28,Produto E,13,222.2,Nordeste
272,2022-03-10,Produto B,8,146.79,Nordeste
273,2022-10-20,Produto C,11,269.09,Sudeste
274,2022-05-29,Produto A,14,491.13,Sudeste
275,2023-06-27,Produto E,14,416.62,Norte
276,2022-03-03,Produto C,15,187.83,Nordeste
277,2023-09-08,Produto C,17,72.85,Norte
278,2022-08-18,Produto D,9,116.45,Sul
279,2022-02-25,Produto E,16,415.68,Centro-Oeste
280,2023-10-26,Produto A,8,56.82,Sul
281,2022-04-11,Produto A,15,405.74,Sudeste
282,2023-05-28,Produto C,12,10.31,Centro-Oeste
283,2022-09-21,Produto A,7,62.17,Norte
284,2023-01-22,Produto E,10,283.84,Sudeste
285,2023-09-24,Produto D,5,288.54,Nordeste
286,2023-11-22,Produto D,20,429.42,Sul
287,2023-12-20,Produto D,15,299.69,Nordeste
288,2023-09-29,Produto A,2,428.02,Sudeste
289,2022-10-10,Produto A,19,37.09,Sudeste
290,2023-07-17,Produto B,11,308.55,Norte
291,2023-11-27,Produto A,3,200.25,Centro-Oeste
292,2023-07-01,Produto E,12,374.99,Sudeste
293,2022-02-04,Produto B,1,129.49,Centro-Oeste
294,2023-07-11,Produto E,14,33.74,Nordeste
295,2023-03-05,Produto E,20,302.32,Nordeste
296,2023-09-20,Produto C,20,168.22,Sul
297,2023-01-18,Produto E,20,406.96,Sul
298,2022-12-07,Produto D,8,343.58,Sul
299,2022-06-23,Produto D,16,273.84,Nordeste
300,2022-09-23,Produto A,7,372.87,Nordeste
301,2022-06-07,Produto A,12,366.15,Sul
302,2022-07-29,Produto D,13,337.86,Sul
303,2022-04-25,Produto B,15,120.1,Sul
304,2022-11-01,Produto A,18,246.64,Norte
305,2023-06-21,Produto B,17,476.4,Nordeste
306,2023-11-14,Produto E,7,254.22,Sul
307,2023-06-13,Produto A,6,187.82,Norte
308,2022-03-09,Produto A,10,65.22,Nordeste
309,2023-11-05,Produto A,1,130.15,Sudeste
310,2022-01-15,Produto A,11,457.52,Sudeste
311,2022-07-27,Produto D,17,18.62,Centro-Oeste
312,2023-04-14,Produto B,10,357.77,Centro-Oeste
313,2022-03-20,Produto B,20,126.79,Sudeste
314,2022-02-04,Produto C,2,162.28,Sul
315,2023-03-20,Produto C,5,425.74,Centro-Oeste
316,2022-08-10,Produto B,17,43.9,Centro-Oeste
317,2023-08-11,Produto C,19,373.37,Norte
318,2022-03-28,Produto C,14,128.51,Centro-Oeste
319,2022-03-22,Produto B,2,28.35,Sul
320,2023-01-15,Produto B,7,34.65,Norte
321,2022-03-13,Produto E,5,75.98,Centro-Oeste
322,2023-07-31,Produto D,15,481.92,Nordeste
323,2023-04-26,Produto A,7,117.03,Nordeste
324,2022-05-10,Produto B,17,127.4,Norte
325,2023-03-21,Produto E,7,149.26,Nordeste
326,2022-11-19,Produto B,12,472.76,Sudeste
327,2023-03-26,Produto B,10,39.1,Sudeste
328,2022-09-05,Produto A,11,199.94,Sul
329,2023-11-14,Produto D,19,93.54,Nordeste
330,2023-10-05,Produto B,17,402.19,Norte
331,2023-11-25,Produto D,13,378.21,Nordeste
332,2022-08-12,Produto A,18,288.68,Nordeste
333,2022-08-17,Produto A,13,426.38,Centro-Oeste
334,2023-02-02,Produto E,15,23.54,Sul
335,2022-06-15,Produto B,19,246.28,Nordeste
336,2023-11-09,Produto D,17,111.02,Sudeste
337,2022-02-06,Produto C,12,302.02,Centro-Oeste
338,2022-02-23,Produto A,20,266.72,Norte
339,2022-11-02,Produto E,16,497.29,Sudeste
340,2022-11-03,Produto B,17,490.82,Sudeste
341,2022-07-13,Produto E,8,149.38,Sudeste
342,2023-06-29,Produto E,7,171.68,Centro-Oeste
343,2022-07-29,Produto B,19,256.72,Sul
344,2023-09-30,Produto D,19,309.72,Centro-Oeste
345,2022-06-20,Produto C,3,38.41,Nordeste
346,2023-02-28,Produto B,13,310.2,Nordeste
347,2022-08-26,Produto B,5,146.2,Nordeste
348,2023-07-13,Produto C,12,434.64,Sul
349,2023-12-16,Produto D,7,424.3,Centro-Oeste
350,2022-06-29,Produto B,14,114.87,Centro-Oeste
351,2023-02-09,Produto E,3,379.24,Sul
352,2023-07-06,Produto B,18,242.99,Sudeste
353,2023-08-30,Produto D,1,456.46,Norte
354,2023-11-23,Produto B,20,357.92,Nordeste
355,2022-05-16,Produto A,5,486.43,Sul
356,2023-03-22,Produto A,2,119.99,Norte
357,2023-08-20,Produto A,2,284.89,Sudeste
358,2022-06-21,Produto C,16,234.21,Norte
359,2022-10-25,Produto E,15,124.87,Sudeste
360,2023-11-30,Produto A,14,30.3,Nordeste
361,2022-12-10,Produto D,15,343.08,Norte
362,2023-01-10,Produto C,5,305.8,Nordeste
363,2023-09-06,Produto C,8,444.55,Sudeste
364,2022-07-06,Produto D,18,238.3,Sul
365,2022-10-13,Produto C,9,150.86,Centro-Oeste
366,2023-03-26,Produto D,9,66.17,Centro-Oeste
367,2023-04-07,Produto C,15,273.44,Nordeste
368,2022-03-12,Produto E,6,184.32,Sudeste
369,2022-05-17,Produto B,17,494.64,Sudeste
370,2023-07-13,Produto A,4,221.27,Centro-Oeste
371,2022-03-08,Produto E,13,127.33,Sul
372,2023-08-07,Produto C,10,34.43,Norte
373,2022-05-09,Produto B,12,242.74,Sul
374,2023-11-27,Produto E,7,289.26,Nordeste
375,2022-06-13,Produto B,17,290.29,Norte
376,2022-01-31,Produto E,5,30.28,Norte
377,2022-05-02,Produto D,7,223.33,Norte
378,2023-02-06,Produto E,2,53.7,Sul
379,2022-10-20,Produto E,2,198.29,Sul
380,2023-01-24,Produto A,14,246.42,Nordeste
381,2023-07-11,Produto E,9,294.53,Sul
382,2023-05-01,Produto A,8,15.66,Sudeste
383,2022-02-14,Produto B,10,130.45,Sudeste
384,2023-11-01,Produto B,20,257.63,Sul
385,2022-01-20,Produto E,1,61.94,Centro-Oeste
386,2023-11-07,Produto C,14,472.27,Centro-Oeste
387,2022-12-11,Produto B,1,197.93,Nordeste
388,2023-09-05,Produto B,20,230.46,Centro-Oeste
389,2022-03-31,Produto A,7,407.79,Norte
390,2022-01-05,Produto E,15,282.42,Sul
391,2023-12-04,Produto B,19,396.05,Centro-Oeste
392,2022-10-25,Produto C,15,184.19,Centro-Oeste
393,2022-03-25,Produto C,11,38.12,Sul
394,2023-01-09,Produto B,13,326.13,Centro-Oeste
395,2023-01-01,Produto B,16,300.91,Sul
396,2023-12-22,Produto E,16,197.35,Centro-Oeste
397,2022-06-28,Produto B,15,207.09,Norte
398,2022-01-27,Produto C,18,324.49,Centro-Oeste
399,2023-09-08,Produto B,11,29.11,Sul
400,2022-09-09,Produto A,10,368.47,Nordeste
401,2023-09-08,Produto A,12,105.81,Centro-Oeste
402,2022-08-28,Produto B,11,93.72,Sul
403,2022-08-24,Produto A,12,52.75,Sudeste
404,2023-03-01,Produto E,19,393.93,Nordeste
405,2022-11-16,Produto C,11,267.02,Nordeste
406,2022-02-03,Produto B,2,322.01,Centro-Oeste
407,2023-12-08,Produto E,16,331.48,Sudeste
408,2022-12-09,Produto E,14,331.58,Centro-Oeste
409,2022-01-01,Produto E,4,244.81,Sul
410,2022-01-22,Produto D,17,250.89,Norte
411,2022-10-14,Produto A,2,372.6,Sudeste
412,2022-07-20,Produto B,17,445.9,Norte
413,2022-02-13,Produto C,17,14.13,Centro-Oeste
414,2022-12-22,Produto B,9,403.15,Sudeste
415,2023-04-05,Produto E,17,206.8,Nordeste
416,2023-12-20,Produto A,17,404.98,Sudeste
417,2023-09-20,Produto A,12,449.09,Sul
418,2023-09-15,Produto E,13,226.35,Centro-Oeste
419,2022-04-12,Produto B,19,398.45,Centro-Oeste
420,2022-05-22,Produto A,8,224.94,Norte
421,2022-01-22,Produto C,17,431.96,Nordeste
422,2022-12-18,Produto B,19,163.04,Norte
423,2022-02-12,Produto D,11,340.25,Centro-Oeste
424,2022-09-18,Produto A,19,45.02,Sul
425,2023-07-29,Produto B,17,103.17,Sudeste
426,2022-09-07,Produto B,7,447.44,Norte
427,2023-04-23,Produto B,6,48.22,Sul
428,2022-11-13,Produto C,19,140.18,Sul
429,2022-06-03,Produto C,2,487.51,Centro-Oeste
430,2022-05-29,Produto C,7,484.06,Norte
431,2022-06-21,Produto C,1,202.43,Sudeste
432,2023-11-15,Produto A,14,30.99,Norte
433,2023-05-03,Produto A,2,33.62,Sul
434,2023-01-02,Produto E,17,401.33,Norte
435,2022-08-02,Produto C,11,225.35,Sul
436,2023-12-11,Produto B,15,90.89,Norte
437,2022-09-26,Produto C,7,207.71,Sul
438,2022-05-30,Produto A,1,275.82,Norte
439,2023-05-08,Produto B,10,361.62,Norte
440,2022-04-24,Produto C,16,89.94,Norte
441,2023-02-03,Produto D,20,257.07,Sudeste
442,2022-09-26,Produto B,14,152.71,Sudeste
443,2022-08-21,Produto C,2,226.57,Sudeste
444,2022-06-29,Produto E,6,31.3,Centro-Oeste
445,2022-09-20,Produto B,7,452.84,Sudeste
446,2022-03-21,Produto D,3,378.94,Centro-Oeste
447,2023-08-26,Produto D,7,453.52,Sudeste
448,2023-11-01,Produto A,7,92.21,Sudeste
449,2023-07-05,Produto D,4,49.77,Sudeste
450,2023-09-15,Produto A,12,125.66,Sudeste
451,2023-11-11,Produto B,1,194.48,Sudeste
452,2022-06-15,Produto A,18,248.38,Sudeste
453,2022-06-19,Produto D,18,136.24,Norte
454,2022-09-02,Produto E,1,27.48,Sudeste
455,2023-10-26,Produto B,11,498.37,Norte
456,2022-12-21,Produto C,16,72.28,Sudeste
457,2023-10-06,Produto B,12,133.2,Sul
458,2022-10-18,Produto C,17,472.49,Nordeste
459,2023-02-14,Produto D,3,498.78,Nordeste
460,2022-01-23,Produto A,19,41.49,Sudeste
461,2022-12-15,Produto D,13,179.16,Centro-Oeste
462,2023-08-10,Produto A,1,211.67,Nordeste
463,2023-02-26,Produto A,1,184.51,Norte
464,2023-12-16,Produto A,15,28.11,Nordeste
465,2022-09-18,Produto A,6,459.11,Centro-Oeste
466,2023-08-14,Produto C,2,274.13,Sudeste
467,2023-05-05,Produto A,5,389.34,Nordeste
468,2022-01-08,Produto C,4,167.16,Centro-Oeste
469,2022-06-18,Produto C,14,246.9,Nordeste
470,2022-10-05,Produto D,14,56.24,Sudeste
471,2023-05-09,Produto C,10,100.62,Norte
472,2022-01-13,Produto C,4,387.81,Sul
473,2022-04-23,Produto D,13,485.43,Sul
474,2022-03-28,Produto E,3,376.19,Sudeste
475,2023-03-31,Produto D,17,226.06,Nordeste
476,2023-11-07,Produto B,9,495.9,Norte
477,2023-03-13,Produto C,9,251.07,Sudeste
478,2022-01-08,Produto E,20,250.91,Norte
479,2023-06-10,Produto E,1,87.41,Sul
480,2022-09-29,Produto B,18,491.85,Norte
481,2022-09-06,Produto E,7,50.41,Centro-Oeste
482,2022-02-23,Produto D,17,78.83,Centro-Oeste
483,2023-04-21,Produto D,5,317.06,Nordeste
484,2023-01-03,Produto B,13,130.91,Sul
485,2022-04-02,Produto B,9,383.24,Norte
486,2022-08-07,Produto A,19,59.79,Nordeste
487,2022-07-13,Produto D,13,135.3,Centro-Oeste
488,2023-03-01,Produto B,3,19.78,Sudeste
489,2022-04-13,Produto A,7,348.13,Norte
490,2022-08-07,Produto B,16,394.94,Centro-Oeste
491,2023-09-24,Produto D,11,356.95,Nordeste
492,2023-09-28,Produto E,9,130.23,Nordeste
493,2023-09-10,Produto A,6,288.56,Centro-Oeste
494,2023-07-27,Produto B,12,79.29,Nordeste
495,2022-11-24,Produto C,18,44.92,Nordeste
496,2022-05-17,Produto B,1,325.29,Sul
497,2023-07-02,Produto E,5,106.6,Sudeste
498,2022-07-10,Produto C,18,293.78,Sudeste
499,2022-07-10,Produto E,1,64.51,Sul
500,2023-03-17,Produto E,5,117.37,Sudeste
501,2023-01-15,Produto A,10,467.85,Nordeste
502,2023-03-08,Produto D,17,461.61,Sul
503,2023-02-18,Produto B,19,20.38,Nordeste
504,2022-06-25,Produto C,3,221.0,Sudeste
505,2022-01-09,Produto C,7,236.45,Nordeste
506,2023-11-30,Produto A,3,273.34,Sudeste
507,2022-07-07,Produto B,14,313.9,Norte
508,2022-05-20,Produto D,15,67.37,Norte
509,2022-04-04,Produto D,18,472.83,Norte
510,2022-11-18,Produto D,8,359.66,Norte
511,2022-03-13,Produto B,15,21.84,Nordeste
512,2022-08-11,Produto E,20,345.26,Nordeste
513,2023-05-18,Produto B,2,215.07,Norte
514,2022-03-30,Produto D,11,180.73,Sul
515,2023-06-24,Produto B,17,395.21,Centro-Oeste
516,2023-07-25,Produto B,6,248.2,Nordeste
517,2023-12-08,Produto D,3,489.94,Centro-Oeste
518,2023-09-17,Produto E,5,235.94,Nordeste
519,2023-03-06,Produto D,20,401.7,Nordeste
520,2022-03-12,Produto B,10,40.34,Sul
521,2022-07-17,Produto B,14,316.43,Sul
522,2022-08-28,Produto C,1,225.4,Sudeste
523,2023-09-20,Produto A,9,19.73,Centro-Oeste
524,2022-10-26,Produto B,2,241.68,Nordeste
525,2023-05-07,Produto D,14,167.04,Centro-Oeste
526,2023-04-15,Produto D,13,308.72,Norte
527,2023-11-07,Produto D,3,313.08,Norte
528,2022-10-24,Produto B,12,87.22,Centro-Oeste
529,2023-04-29,Produto E,10,170.23,Sudeste
530,2023-12-17,Produto E,12,94.89,Centro-Oeste
531,2022-07-01,Produto D,1,315.18,Nordeste
532,2022-01-15,Produto A,10,100.19,Sul
533,2023-09-25,Produto E,15,46.52,Centro-Oeste
534,2022-06-25,Produto E,20,198.3,Sudeste
535,2023-02-26,Produto D,14,65.16,Sul
536,2022-12-26,Produto D,6,251.43,Norte
537,2023-08-12,Produto E,7,89.9,Sudeste
538,2023-10-30,Produto B,16,175.73,Sudeste
539,2023-05-07,Produto A,8,256.34,Sudeste
540,2022-12-16,Produto A,9,54.85,Norte
